Igra,Min. st. igralcev,Max. st. igralcev,Min cas,Max. cas,Leto izdaje,Min. starost
Spartacus: A Game of Blood & Treachery,3,4,120,180,2012,17
The Godfather: Corleone's Empire,2,5,60,90,2017,14
Sentinels of the Multiverse,2,5,30,60,2011,8
Dice Forge,2,4,45,45,2017,10
Hanabi,2,5,25,25,2010,8
Archipelago,2,5,30,240,2012,14
The Grizzled,2,5,30,30,2015,14
Egizia,2,4,90,90,2009,12
Raptor,2,2,25,25,2015,9
Biblios,2,4,30,30,2007,10
Roads & Boats,1,4,240,240,1999,14
The Great Zimbabwe,2,5,90,150,2012,14
One Night Ultimate Werewolf,3,10,10,10,2014,8
Pandemic: Reign of Cthulhu,2,4,40,40,2016,14
Catan,3,4,60,120,1995,10
"Labyrinth: The War on Terror, 2001 – ?",1,2,180,180,2010,12
Mythic Battles: Pantheon,2,4,60,90,2017,14
Madeira,2,4,60,150,2013,12
Small World Underground,2,5,30,90,2011,8
Time's Up! Title Recall!,4,18,60,60,2008,12
Commands & Colors: Napoleonics,2,2,90,90,2010,14
Deus,2,4,60,90,2014,14
Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,1,4,90,90,2013,13
Legends of Andor,2,4,60,90,2012,10
Colt Express,2,6,30,40,2014,10
Star Wars: Destiny,2,2,30,30,2016,10
Earth Reborn,2,4,180,180,2010,13
Photosynthesis,2,4,30,60,2017,10
Friday,1,1,25,25,2011,13
Airlines Europe,2,5,75,75,2011,10
First Class: All Aboard the Orient Express!,2,4,40,80,2016,10
PitchCar,2,8,30,30,1995,6
Libertalia,2,6,45,45,2012,14
Vinhos,2,4,60,135,2010,12
Santa Maria,1,4,45,90,2017,12
Freedom: The Underground Railroad,1,4,60,120,2012,13
Abyss,2,4,30,60,2014,14
Euphoria: Build a Better Dystopia,2,6,60,60,2013,13
Vikings,2,4,60,60,2007,10
Shadows over Camelot,3,7,60,80,2005,10
Elysium,2,4,60,60,2015,14
Taj Mahal,3,5,75,100,2000,12
Ginkgopolis,1,5,45,45,2012,13
Citadels,2,8,20,60,2000,10
Hammer of the Scots,2,2,120,180,2002,12
Paperback,2,5,45,45,2014,8
Conan,2,5,90,90,2016,14
Underwater Cities,1,4,80,150,2018,12
Tales of the Arabian Nights,1,6,120,120,2009,12
A Game of Thrones: The Card Game (Second Edition),2,4,60,120,2015,14
TZAAR,2,2,30,60,2007,13
Western Legends,2,6,60,90,2018,14
A Game of Thrones (First Edition),3,5,180,180,2003,12
Ingenious,1,4,45,45,2004,10
Magic Maze,1,8,15,15,2017,8
Imhotep,2,4,40,40,2016,10
The Colonists,1,4,30,360,2016,12
Gùgōng,1,5,60,90,2018,12
Evolution,2,6,60,60,2014,12
Automobile,3,5,120,120,2009,12
RoboRally,2,8,45,120,1994,12
Last Will,2,5,45,75,2011,13
Lords of Vegas,2,4,60,60,2010,12
Thurn and Taxis,2,4,60,60,2006,13
Schotten Totten,2,2,20,20,1999,8
StarCraft: The Board Game,2,6,180,240,2007,12
Francis Drake,3,5,90,120,2013,14
Nexus Ops,2,4,90,90,2005,12
Carson City,2,5,90,90,2009,12
Mystic Vale,2,4,45,45,2016,14
Sword & Sorcery,1,5,60,90,2017,12
Chinatown,3,5,60,60,1999,12
Colosseum,3,5,60,90,2007,10
Thunderstone Advance: Towers of Ruin,1,5,45,45,2012,12
Sushi Go!,2,5,15,15,2013,8
The Republic of Rome,1,6,300,300,1990,14
Azul: Stained Glass of Sintra,2,4,30,45,2018,8
Zombicide,1,6,60,60,2012,14
DVONN,2,2,30,30,2001,9
Struggle of Empires,2,7,180,240,2004,13
KLASK,2,2,10,10,2014,
Gears of War: The Board Game,1,4,60,180,2011,13
Chicago Express,2,6,60,60,2007,12
Runebound (Third Edition),2,4,120,180,2015,14
Snowdonia,1,5,30,90,2012,10
AquaSphere,2,4,100,100,2014,12
Nemo's War (second edition),1,4,60,120,2017,13
Bohnanza,2,7,45,45,1997,13
Skull,3,6,45,45,2011,14
Junk Art,2,6,30,30,2016,8
Baseball Highlights: 2045,1,4,45,45,2015,9
Potion Explosion,2,4,30,45,2015,8
Quantum,2,4,60,60,2013,13
Shadows of Brimstone: Swamps of Death,1,4,90,180,2014,12
Wallenstein (first edition),3,5,150,150,2002,12
Queendomino,2,4,25,25,2017,8
Monikers,4,20,60,60,2015,18
Karuba,2,4,30,40,2015,8
Belfort,2,5,120,120,2011,12
Triumph & Tragedy,2,3,240,240,2015,12
Camel Up,2,8,20,30,2014,8
Trains,2,4,45,45,2012,12
No Thanks!,3,7,20,20,2004,8
Fire in the Lake,1,4,180,180,2014,
Warhammer Quest: The Adventure Card Game,1,4,30,60,2015,14
Argent: The Consortium,2,5,60,150,2015,10
One Night Ultimate Werewolf Daybreak,3,7,10,10,2015,8
Pax Porfiriana,1,6,120,120,2012,12
The Fox in the Forest,2,2,30,30,2017,10
Summoner Wars,2,4,30,60,2009,9
Mare Nostrum: Empires,3,5,90,120,2016,14
Port Royal,2,5,20,50,2014,8
Smash Up: Awesome Level 9000,2,2,45,45,2013,12
Discworld: Ankh-Morpork,2,4,60,60,2011,11
Dixit: Journey,3,6,30,30,2012,8
The Battle of Five Armies,2,2,90,240,2014,13
Thebes,2,4,60,60,2007,8
Tobago,2,4,60,60,2009,10
Alhambra,2,6,45,60,2003,8
Downforce,2,6,20,40,2017,10
Chess,2,2,60,60,1475,6
Broom Service,2,5,30,75,2015,10
Carcassonne: Hunters and Gatherers,2,5,30,45,2002,8
Bunny Kingdom,2,4,40,60,2017,12
Defenders of the Realm,1,4,90,90,2010,13
Coup,2,6,15,15,2012,13
ZhanGuo,2,4,60,120,2014,12
Up Front,2,3,60,60,1983,12
Time's Up!,4,18,90,90,1999,12
1846: The Race for the Midwest,3,5,240,240,2005,14
Jamaica,2,6,30,60,2007,8
Gizmos,2,4,40,50,2018,14
Luna,1,4,60,100,2010,12
Torres,2,4,60,60,1999,12
Taluva,2,4,45,45,2006,8
Cry Havoc,2,4,60,120,2016,10
Fury of Dracula (Second Edition),2,5,180,180,2005,10
Through the Desert,2,5,45,45,1998,10
Cuba,2,5,75,120,2007,10
Specter Ops,2,5,60,120,2015,13
Shakespeare,1,4,20,90,2015,13
Lord of the Rings: The Confrontation,2,2,30,30,2002,12
Ashes: Rise of the Phoenixborn,2,4,30,120,2015,14
The Duke,2,2,30,30,2013,13
Mr. Jack,2,2,30,30,2006,9
Space Empires: 4X,1,4,180,180,2011,12
Myrmes,2,4,60,120,2012,13
Betrayal at House on the Hill,3,6,60,60,2004,12
Escape: The Curse of the Temple,1,5,10,10,2012,8
Napoleon's Triumph,2,2,180,180,2007,12
Vegas Showdown,3,5,75,75,2005,12
Formula D,2,10,60,60,2008,8
Advanced Squad Leader: Starter Kit #1,2,2,120,120,2004,13
Conflict of Heroes: Awakening the Bear! – Russia 1941-42,1,4,120,120,2008,10
Dominion (Second Edition),2,4,30,30,2016,14
Star Trek: Fleet Captains,2,4,90,120,2011,14
Steampunk Rally,2,8,45,60,2015,14
Eminent Domain,2,4,45,45,2011,10
1989: Dawn of Freedom,2,2,150,150,2012,12
Blood Bowl (2016 edition),2,2,45,120,2016,12
Tokaido,2,5,45,45,2012,8
Summoner Wars: Alliances Master Set,2,4,45,45,2014,9
London (Second Edition),2,4,60,90,2017,14
Medici,2,6,60,60,1995,10
Shipyard,2,4,120,120,2009,11
Las Vegas,2,5,30,30,2012,8
The Downfall of Pompeii,2,4,45,45,2004,10
Love Letter: Batman,2,4,20,20,2015,10
Space Hulk,2,4,45,45,1989,12
Exit: The Game – The Pharaoh's Tomb,1,6,45,90,2016,12
Zombicide Season 2: Prison Outbreak,1,6,90,180,2013,13
Thunderstone Quest,2,4,60,90,2018,14
Tajemnicze Domostwo,2,7,30,60,2013,8
Middle-Earth Quest,2,4,180,180,2009,13
Washington's War,2,2,90,90,2010,
Arcadia Quest: Inferno,2,4,60,120,2017,13
Cuba Libre,1,4,180,180,2013,
Among the Stars,2,4,30,30,2012,12
Spyfall,3,8,15,15,2014,12
Yspahan,2,4,45,60,2006,8
Kingdom Builder,2,4,45,45,2011,8
K2,1,5,30,60,2010,8
Stuffed Fables,2,4,60,90,2018,7
Elder Sign,1,8,90,90,2011,13
Cryptid,3,5,30,50,2018,10
Tash-Kalar: Arena of Legends,2,4,30,60,2013,13
World Without End,2,4,90,120,2009,12
Marvel Dice Masters: Avengers vs. X-Men,2,2,60,60,2014,14
Love Letter Premium,2,8,20,30,2016,8
Empires: Age of Discovery,2,6,50,150,2015,10
Vasco da Gama,2,4,60,120,2009,12
BANG! The Dice Game,3,8,15,15,2013,8
