Igra,Dodatki
Keyflower,"['Brettspiel Adventskalender 2018', 'Keyflower: Boat 7', 'Keyflower: Delivery Man', 'Keyflower: Developer', 'Keyflower: Sorcerer', 'Keyflower: Keymelequin', 'Keyflower: Pig Shelter', 'Keyflower: Beekeeper', 'Keyflower: The Merchants', 'Keyflower: Trader']"
Anachrony,"['Anachrony: Fractures of Time', 'Anachrony: The Sentry Post', 'Anachrony: Doomsday Enhancement Pack', 'Anachrony: Exosuit Commander Pack']"
Race for the Galaxy,"['Race for the Galaxy: Retrofit Cards', 'Race for the Galaxy: New Worlds Promo', 'Race for the Galaxy: Xeno Invasion', 'Patronage (fan expansion to Race for the Galaxy)', 'Race for the Galaxy: Alien Artifacts', 'Race for the Galaxy: The Brink of War', 'Race for the Galaxy: Rebel vs Imperium', 'Race for the Galaxy: The Gathering Storm']"
Caylus,['Caylus Expansion: The Jeweller']
Dominant Species,[]
Fields of Arle,"['Fields of Arle: New Travel Destination – Aachen', 'Fields of Arle: New Travel Destination – Bad Wörishofen', 'Fields of Arle: New Travel Destination – Baden', 'Fields of Arle: New Travel Destination – Baltrum', 'Fields of Arle: New Travel Destination – Kaiserslautern', 'Fields of Arle: New Travel Destination – Würzburg', 'Fields of Arle: New Travel Destination – Zürich', 'Fields of Arle: New Travel Destination – Ahrweiler', 'Fields of Arle: New Travel Destination – Arle', 'Fields of Arle: New Travel Destination – Basel']"
Lords of Waterdeep,"['Lords of Waterdeep: Rapid Expansion Promo Card', 'Lords of Waterdeep: Scoundrels of Skullport', 'Lords of Waterdeep: Inevitable Betrayal Promo Card']"
Root,"['Root: The Exiles and Partisans Deck', 'Root: The Underworld Expansion', 'Root: The Riverfolk Expansion']"
Rising Sun,"['Rising Sun: Stronghold Pack', 'Raging Sun (fan expansion to Rising Sun)', 'Rising Sun: Daimyo Box', 'Rising Sun: Dynasty Invasion', 'Rising Sun: Kami Unbound', 'Rising Sun: Monster Pack']"
Twilight Imperium (Third Edition),"['Twilight Imperium (Third Edition): Shards of the Throne', 'Twilight Imperium (Third Edition): Shattered Empire']"
Five Tribes,"['Five Tribes: Galbells', 'Five Tribes: Whims of the Sultan', 'Five Tribes: The Thieves of Naqala', 'Five Tribes: The Artisans of Naqala', 'Five Tribes: Wilwit', 'Five Tribes: Dhenim']"
Wingspan,[]
Eldritch Horror,"['Eldritch Horror: Masks of Nyarlathotep', 'Eldritch Horror: Cities in Ruin', 'Eldritch Horror: The Dreamlands', 'Eldritch Horror: Signs of Carcosa', 'Eldritch Horror: Strange Remnants', 'Eldritch Horror: Under the Pyramids', 'Eldritch Horror: Forsaken Lore', 'Eldritch Horror: Mountains of Madness']"
El Grande,"['The El Grande Expansions', 'El Grande: Grandissimo', ""El Grande: König & Intrigant – Player's Edition"", 'El Grande: Grossinquisitor und Kolonien', 'El Grande: König & Intrigant', 'El Grande: König & Intrigant – Unverkäufliche Sonderkarten']"
