Game,Designers,Artists,Publisher
Spirit Island: Branch & Claw,['R. Eric Reuss'],"['Jason Behnke', 'Kat G Bermelin', 'Loïc Billiau', 'Cari Corene']",Greater Than Games (Fabled Nexus)
Spirit Island: Champions of the Dahan Token Pack,[],[],Greater Than Games (Fabled Nexus)
Spirit Island: Expansion Playmat,['R. Eric Reuss'],[],Greater Than Games (Fabled Nexus)
Spirit Island: Promo Pack 1,['R. Eric Reuss'],"['Nolan Nasser', 'Jorge Ramos']",Greater Than Games (Fabled Nexus)
Leaders (fan expansion to  7 Wonders Duel),['Michael Gallo'],[],(Web published)
7 Wonders Duel: Pantheon,"['Antoine Bauza', 'Bruno Cathala']","['Antoine Bauza', 'Bruno Cathala', 'Miguel Coimbra', 'Antonio Dessi']",Repos Production
7 Wonders Duel: Statue of Liberty,"['Antoine Bauza', 'Bruno Cathala']",['Miguel Coimbra'],Repos Production
7 Wonders Duel: The Messe Essen Promo Card,"['Antoine Bauza', 'Bruno Cathala']",['Miguel Coimbra'],Asterion Press
Concordia: Venus (expansion),['Mac Gerdts'],"['Marina Fahrenbach', 'Dominik Mayer']",PD-Verlag
Concordia: Aegyptus / Creta,"['Mac Gerdts', 'Frank Lamprecht']",['Marina Fahrenbach'],PD-Verlag
Concordia: 8 Forum Cards mini-expansion,['Mac Gerdts'],[],PD-Verlag
Concordia: Gallia / Corsica,['Mac Gerdts'],[],Ediciones MasQueOca
Concordia: Salsa,['Mac Gerdts'],['Marina Fahrenbach'],PD-Verlag
Concordia: Britannia / Germania,['Mac Gerdts'],['Marina Fahrenbach'],Ediciones MasQueOca
The 7th Continent: Comfort Creatures,"['Ludovic Roudy', 'Bruno Sautter']",['Ludovic Roudy'],Serious Poulp
The 7th Continent: The Flying Roots,"['Ludovic Roudy', 'Bruno Sautter']",['Ludovic Roudy'],Serious Poulp
"The 7th Continent: What Goes Up, Must Come Down","['Ludovic Roudy', 'Bruno Sautter']",['Ludovic Roudy'],Serious Poulp
